"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 07 12:38:40 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","725","","Product catalogue","","Sally only wants to see Hand Saws","","Sally only wants to see Hand Saws","  As an user i should be able to search inside the catalogue"
"broken","Wed Jan 07 12:38:40 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","703","","Product catalogue","","Sally sorts by different criteria","","Sally sorts by different criteria","  As an user i should be able to search inside the catalogue"
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","139","","playwright.examples.AnnotatedTest","","playwright.examples.AnnotatedTest","shouldShowProductImages","shouldShowProductImages(Page)",""
"broken","Wed Jan 07 12:38:40 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","691","","Product catalogue","","Sally sorts by different criteria","","Sally sorts by different criteria","  As an user i should be able to search inside the catalogue"
"passed","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:39 UTC 2026","1754","","playwright.toolsshop.api.RegisterUserAPITest","","playwright.toolsshop.api.RegisterUserAPITest","firstNameShouldBeRequired","firstNameShouldBeRequired()",""
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","159","","playwright.toolsshop.login.LoginWithRegisteredUserTest","","playwright.toolsshop.login.LoginWithRegisteredUserTest","reject_user_creation_if_password_is_not_valid","Reject user creation if pasword is not valid",""
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","293","","playwright.toolsshop.catalog.SearchForProductTest","","playwright.toolsshop.catalog.SearchForProductTest","searchItemWithPageObjects","Search item With page objects",""
"broken","Wed Jan 07 12:38:36 UTC 2026","Wed Jan 07 12:38:36 UTC 2026","131","","playwright.examples.AnnotatedTest.AutomaticWaits","","playwright.examples.AnnotatedTest$AutomaticWaits","shouldFilterProductsByCategory","Should filter products by category",""
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","0","","playwright.toolsshop.login.LoginWithRegisteredUserTest","","playwright.toolsshop.login.LoginWithRegisteredUserTest","","LoginWithRegisteredUserTest",""
"broken","Wed Jan 07 12:38:36 UTC 2026","Wed Jan 07 12:38:36 UTC 2026","0","","playwright.examples.SimpleTest","","playwright.examples.SimpleTest","","SimpleTest",""
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:38 UTC 2026","373","","playwright.toolsshop.catalog.SearchForProductTest","","playwright.toolsshop.catalog.SearchForProductTest","whenThereAreNoMatchingResults","When there are no matching results",""
"broken","Wed Jan 07 12:38:41 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","239","","Product catalogue","","Sally sorts by different criteria","","Sally sorts by different criteria","  As an user i should be able to search inside the catalogue"
"broken","Wed Jan 07 12:38:23 UTC 2026","Wed Jan 07 12:38:36 UTC 2026","12769","","playwright.toolsshop.shopingcart.AddToCartTest","","playwright.toolsshop.shopingcart.AddToCartTest","addToCartWithPageObjects","Add to cart with page objects",""
"broken","Wed Jan 07 12:38:41 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","232","","Product catalogue","","Sally searches for more general term using a data table","","Sally searches for more general term using a data table","  As an user i should be able to search inside the catalogue"
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","156","","playwright.examples.AnnotatedTest","","playwright.examples.AnnotatedTest","shouldShowThePageTitle","shouldShowThePageTitle(Page)",""
"broken","Wed Jan 07 12:38:36 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","609","","playwright.toolsshop.shopingcart.AddToCartTest","","playwright.toolsshop.shopingcart.AddToCartTest","checkingOutMultipleItems","Checking out multiple items",""
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","179","","playwright.examples.AnnotatedTest","","playwright.examples.AnnotatedTest","shouldSearchByKeyword","shouldSearchByKeyword(Page)",""
"passed","Wed Jan 07 12:38:23 UTC 2026","Wed Jan 07 12:38:39 UTC 2026","15775","","playwright.toolsshop.api.RegisterUserAPITest","","playwright.toolsshop.api.RegisterUserAPITest","shouldCreateUser","shouldCreateUser()",""
"broken","Wed Jan 07 12:38:23 UTC 2026","Wed Jan 07 12:38:36 UTC 2026","12379","","playwright.examples.AnnotatedTest.AutomaticWaits","","playwright.examples.AnnotatedTest$AutomaticWaits","updateShopingCartItems","Should filter products by category",""
"broken","Wed Jan 07 12:38:36 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","798","","playwright.toolsshop.login.LoginWithRegisteredUserTest","","playwright.toolsshop.login.LoginWithRegisteredUserTest","login_with_registered_user","Should be able to login with registered user",""
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","175","","playwright.examples.AnnotatedTest","","playwright.examples.AnnotatedTest","shouldShowProductNames","shouldShowProductNames(Page)",""
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:38 UTC 2026","775","","playwright.toolsshop.catalog.SearchForProductTest","","playwright.toolsshop.catalog.SearchForProductTest","shouldShowProductNames","Load product page",""
"broken","Wed Jan 07 12:38:36 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","212","","playwright.examples.AnnotatedTest.AutomaticWaits","","playwright.examples.AnnotatedTest$AutomaticWaits","shouldWaitForTheCheckBoxes","Should wait for the check boxes to appear before click",""
"broken","Wed Jan 07 12:38:41 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","204","","Product catalogue","","Sally searches for an Adjustable Wrench","","Sally searches for an Adjustable Wrench","  As an user i should be able to search inside the catalogue"
"broken","Wed Jan 07 12:38:40 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","634","","Product catalogue","","Sally searches for a product that does not exist","","Sally searches for a product that does not exist","  As an user i should be able to search inside the catalogue"
"broken","Wed Jan 07 12:38:36 UTC 2026","Wed Jan 07 12:38:36 UTC 2026","162","","playwright.examples.AnnotatedTest.AutomaticWaits","","playwright.examples.AnnotatedTest$AutomaticWaits","sortByDescendingPrice","Sort by descending price",""
"broken","Wed Jan 07 12:38:41 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","92","","Product catalogue","","Sally searches for more general term","","Sally searches for more general term","  As an user i should be able to search inside the catalogue"
"broken","Wed Jan 07 12:38:37 UTC 2026","Wed Jan 07 12:38:37 UTC 2026","313","","playwright.toolsshop.catalog.SearchForProductTest","","playwright.toolsshop.catalog.SearchForProductTest","clearSearchResults","Clear search results",""
"broken","Wed Jan 07 12:38:41 UTC 2026","Wed Jan 07 12:38:41 UTC 2026","211","","Product catalogue","","Sally sorts by different criteria","","Sally sorts by different criteria","  As an user i should be able to search inside the catalogue"
